model_id,config,micro_f1,weighted_f1,samples_f1,mean_f1
1,"{'num_conv_layers': 3, 'kernel_sizes': [2, 4, 4], 'channels': [16, 32, 64], 'batch_size': 32, 'dropout': 0.5, 'dense_hidden': 128}",0.5288141688393418,0.5498908459849892,0.5180442374854481,0.5322497507699263
3,"{'num_conv_layers': 4, 'kernel_sizes': [2, 6, 6, 6], 'channels': [16, 32, 64, 128], 'batch_size': 32, 'dropout': 0.5, 'dense_hidden': 128}",0.5233803097455306,0.5413827838689294,0.47817456117805357,0.5143125515975044
0,"{'num_conv_layers': 4, 'kernel_sizes': [2, 3, 6, 6], 'channels': [16, 32, 64, 128], 'batch_size': 32, 'dropout': 0.5, 'dense_hidden': 64}",0.5192259861712183,0.5402650925411785,0.48068931456591524,0.513393464426104
7,"{'num_conv_layers': 4, 'kernel_sizes': [2, 3, 3, 4], 'channels': [16, 32, 64, 128], 'batch_size': 32, 'dropout': 0.5, 'dense_hidden': 128}",0.4844418943372909,0.539750375422984,0.4633707774569241,0.4958543490723996
2,"{'num_conv_layers': 4, 'kernel_sizes': [2, 4, 4, 5], 'channels': [16, 32, 64, 128], 'batch_size': 32, 'dropout': 0.5, 'dense_hidden': 32}",0.4670773050661319,0.5150982799050975,0.43122376265566015,0.47113311587562984
11,"{'num_conv_layers': 1, 'kernel_sizes': [4], 'channels': [16], 'batch_size': 64, 'dropout': 0.0, 'dense_hidden': 64}",0.4424094424094424,0.48578069713674005,0.45939706393722696,0.4625290678278031
13,"{'num_conv_layers': 4, 'kernel_sizes': [5, 5, 6, 6], 'channels': [16, 32, 64, 128], 'batch_size': 64, 'dropout': 0.5, 'dense_hidden': 32}",0.4554455445544555,0.4879823623488434,0.4237933971344914,0.45574043467926345
18,"{'num_conv_layers': 2, 'kernel_sizes': [2, 5], 'channels': [16, 32], 'batch_size': 128, 'dropout': 0.0, 'dense_hidden': 64}",0.4333391577843788,0.48871688760158655,0.42393752929259326,0.4486645248928529
19,"{'num_conv_layers': 4, 'kernel_sizes': [3, 4, 4, 5], 'channels': [16, 32, 64, 128], 'batch_size': 128, 'dropout': 0.0, 'dense_hidden': 64}",0.42179109648363067,0.4960845846698636,0.4077035110795297,0.4418597307443413
6,"{'num_conv_layers': 2, 'kernel_sizes': [5, 5], 'channels': [16, 32], 'batch_size': 32, 'dropout': 0.5, 'dense_hidden': 64}",0.4168754119973632,0.47099299815463447,0.41016585277353607,0.43267808764184457
5,"{'num_conv_layers': 2, 'kernel_sizes': [2, 3], 'channels': [16, 32], 'batch_size': 32, 'dropout': 0.0, 'dense_hidden': 128}",0.423307297905985,0.4496051650772586,0.3927823050058207,0.4218982559963547
12,"{'num_conv_layers': 4, 'kernel_sizes': [3, 3, 3, 4], 'channels': [16, 32, 64, 128], 'batch_size': 64, 'dropout': 0.0, 'dense_hidden': 32}",0.4197638404955478,0.46477040831937805,0.3785394272006612,0.4210245586718624
8,"{'num_conv_layers': 3, 'kernel_sizes': [2, 6, 6], 'channels': [16, 32, 64], 'batch_size': 32, 'dropout': 0.5, 'dense_hidden': 64}",0.4138655462184874,0.4330967787412878,0.36059900518573396,0.4025204433818364
4,"{'num_conv_layers': 1, 'kernel_sizes': [4], 'channels': [16], 'batch_size': 32, 'dropout': 0.5, 'dense_hidden': 64}",0.38646005448131115,0.4400821877859372,0.3771011293712109,0.40121445721281973
15,"{'num_conv_layers': 1, 'kernel_sizes': [5], 'channels': [16], 'batch_size': 128, 'dropout': 0.5, 'dense_hidden': 32}",0.37546359961661885,0.4205407117918269,0.3908499597673055,0.3956180903919171
16,"{'num_conv_layers': 1, 'kernel_sizes': [2], 'channels': [16], 'batch_size': 128, 'dropout': 0.0, 'dense_hidden': 64}",0.34071971764363423,0.43874881243567554,0.3559028670204456,0.3784571323665851
14,"{'num_conv_layers': 1, 'kernel_sizes': [3], 'channels': [16], 'batch_size': 64, 'dropout': 0.0, 'dense_hidden': 32}",0.33822629969418955,0.41264751754293166,0.3614984872842847,0.370790768173802
9,"{'num_conv_layers': 2, 'kernel_sizes': [4, 6], 'channels': [16, 32], 'batch_size': 64, 'dropout': 0.0, 'dense_hidden': 32}",0.34307374886041936,0.3846053908998619,0.31111127909730935,0.34626347295253024
17,"{'num_conv_layers': 4, 'kernel_sizes': [2, 3, 3, 4], 'channels': [16, 32, 64, 128], 'batch_size': 128, 'dropout': 0.0, 'dense_hidden': 32}",0.34550451511582253,0.39408927522015264,0.2953343513296947,0.34497604722188996
10,"{'num_conv_layers': 4, 'kernel_sizes': [2, 4, 4, 5], 'channels': [16, 32, 64, 128], 'batch_size': 64, 'dropout': 0.0, 'dense_hidden': 32}",0.3286934818085821,0.37782491265900414,0.2837065146727545,0.3300749697134469
